BRAND_ID,TERRITORY_ID,PRIMARY_CATEGORY,DOMAIN_AUTHORITY,TOTAL_PRODUCTS,TOTAL_PRESS_RELEASES,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,IS_AN_AFFILIATE
131,1,1582,45.0,1618,203,11,0,0,0,0,0
490,1,556,52.0,678,5,1,1,0,1,1,1
820,1,269,46.0,224,19,1,1,1,1,0,0
918,1,200,42.0,200,50,0,1,1,1,1,0
1105,1,417,41.0,369,2,1,1,0,0,1,0
2452,1,32,32.0,25,25,0,0,1,0,0,0
2497,1,8087,50.0,30961,81,1,1,1,1,1,0
3467,1,222,36.0,159,0,0,0,0,0,0,0
3527,1,17,17.0,73,81,0,1,1,1,1,0
3655,1,44,73.0,177,0,1,1,1,1,1,0
3685,1,916,54.0,1884,2,0,1,1,1,1,0
3887,3,139,36.0,152,6,0,0,1,0,0,0
4615,1,2110,57.0,4130,13,6,1,1,0,1,0
4793,1,50,32.0,99,6,1,1,1,1,1,1
5045,3,235,23.0,574,6,0,1,1,0,1,0
5309,1,2352,48.0,4856,45,1,1,1,1,1,0
5853,3,1332,34.0,2405,5,1,1,1,0,0,0
6273,1,72,27.0,113,28,0,1,1,1,1,0
6807,1,685,45.0,616,65,1,1,1,1,1,1
6991,1,30,13.0,40,0,0,0,1,0,0,0
7263,1,47,34.0,53,1,0,1,0,1,1,0
7487,1,326,26.0,217,1,0,0,0,0,0,0
8527,3,574,18.0,1101,91,0,1,0,0,1,0
8685,1,588,37.0,1278,41,1,1,1,1,1,1
8895,4,21,67.0,21,1,0,0,0,0,0,0
8973,4,103,24.0,199,37,0,1,1,1,1,0
9129,4,999,29.0,996,7,3,1,0,1,1,0
9141,4,74,26.0,114,15,0,1,1,0,0,0
9169,4,129,27.0,165,113,0,1,0,0,1,0
9481,4,319,34.0,290,36,2,1,0,1,1,0
9587,1,358,16.0,363,23,0,1,1,1,1,1
9619,4,176,32.0,167,0,0,0,0,0,0,0
9731,4,235,34.0,250,2,0,0,0,0,0,0
9797,4,92,33.0,113,0,0,0,0,0,0,0
9819,4,522,35.0,809,0,1,0,0,0,1,0
9827,4,198,66.0,226,0,0,0,0,0,0,0
10339,1,77,18.0,180,50,1,1,0,1,1,0
10435,1,169,30.0,265,1,2,1,1,1,1,0
10812,1,119,25.0,98,13,0,1,1,0,1,0
10836,4,167,23.0,97,0,2,1,0,0,1,0
11287,1,1193,61.0,2636,0,0,0,0,0,0,0
12795,3,2109,47.0,3729,29,0,1,0,1,1,0
13475,1,43,25.0,24,2,0,1,1,1,1,0
14021,1,184,22.0,92,0,0,0,0,0,0,1
14253,4,32,19.0,75,4,0,1,1,0,0,0
14308,4,308,40.0,819,0,1,1,1,1,1,1
14327,9,125,33.0,246,21,0,1,1,0,1,0
14717,1,516,42.0,847,0,0,1,1,0,1,0
14731,3,1191,27.0,3266,48,2,1,0,1,1,0
14782,3,45,28.0,81,25,2,1,0,1,1,1
14837,4,245,27.0,267,72,2,1,0,1,1,0
14841,4,161,28.0,249,64,0,1,1,1,1,0
15081,1,2624,43.0,3990,20,0,1,1,1,1,1
15210,1,937,50.0,1124,50,3,1,1,1,1,0
15466,1,1324,55.0,2817,2,0,1,1,1,1,0
15547,9,151,32.0,289,48,0,1,1,1,1,0
15566,4,49,24.0,55,4,0,1,0,0,1,0
16075,4,11,34.0,10,7,1,1,0,1,1,0
16122,1,618,40.0,318,21,0,1,0,1,1,1
16194,4,41,32.0,107,8,3,1,0,1,1,0
16533,4,488,29.0,467,11,1,1,0,0,1,0
16958,4,389,25.0,239,39,1,1,0,0,1,0
17000,1,44,31.0,125,1,1,1,1,0,1,0
17050,1,28,11.0,28,1,0,0,1,0,0,1
17126,1,308,20.0,767,9,0,1,1,0,0,1
17219,1,1591,43.0,915,170,3,1,1,1,1,0
17561,2,59,56.0,174,4,0,0,0,0,0,0
17755,4,130,37.0,244,38,2,1,0,1,1,0
17897,3,523,30.0,511,8,0,1,0,1,1,0
18052,4,16,28.0,20,0,0,1,1,1,1,0
18250,1,1542,44.0,871,13,0,0,0,0,0,0
18334,4,12,33.0,31,0,0,0,0,0,0,0
18532,1,380,42.0,779,43,0,0,0,0,0,0
18651,1,16,20.0,10,0,1,0,1,0,1,0
18652,1,26,74.0,42,2,0,1,1,1,1,0
18782,4,86,28.0,241,99,0,1,0,1,1,0
18788,1,977,48.0,1532,40,6,1,1,1,1,0
18903,1,779,54.0,847,120,25,1,1,1,1,0
18909,1,45,21.0,46,3,3,1,1,0,1,0
18941,1,286,24.0,469,4,0,1,1,0,1,0
19005,4,357,28.0,605,17,0,1,1,1,1,0
19119,1,2038,46.0,5936,101,1,1,1,1,1,1
19122,1,157,34.0,272,4,0,1,1,0,1,1
19130,1,2655,84.0,9350,38,0,0,0,0,0,0
19183,1,174,36.0,254,6,1,0,0,0,0,0
19306,1,69,12.0,101,0,0,0,0,0,1,0
19407,1,706,46.0,788,65,3,1,1,1,1,0
19657,2,1408,56.0,1706,18,0,1,1,0,1,0
19658,2,1279,34.0,1002,6,0,1,0,0,1,0
19659,2,1704,59.0,2045,26,0,1,1,1,1,0
19661,2,2197,57.0,1662,17,0,1,1,0,0,0
19662,2,1252,50.0,757,8,0,1,1,0,0,0
19682,4,575,1.0,1023,1,0,1,0,1,1,0
20035,1,39,18.0,43,17,0,1,1,1,1,0
20313,3,274,22.0,292,2,0,1,1,1,1,1
20783,4,115,23.0,99,0,0,0,0,0,0,0
20797,1,353,52.0,923,16,1,1,0,1,1,1
21061,5,584,32.0,499,151,2,0,0,0,0,0
21373,1,355,54.0,1018,35,23,1,1,1,1,0
21448,1,14,21.0,11,0,0,0,0,0,0,0
21482,1,613,41.0,1363,74,1,1,1,1,1,0
21505,1,838,50.0,1384,8,1,1,1,1,1,0
21591,1,6,7.0,12,0,0,1,1,1,1,0
22161,4,18,32.0,29,14,0,0,0,0,0,0
22352,9,8429,43.0,10936,212,0,1,1,1,1,0
22539,1,398,93.0,260,0,1,1,0,1,1,0
22615,3,308,30.0,2974,0,1,1,1,1,1,0
22675,4,1651,31.0,7736,13,0,1,1,1,1,0
22738,1,318,46.0,321,5,0,1,1,1,0,0
22740,5,67,1.0,131,1,0,0,0,0,0,0
23246,4,106,44.0,58,3,0,1,0,0,0,0
23248,1,366,15.0,394,23,0,1,0,0,1,1
23410,1,201,36.0,316,6,2,1,1,0,1,0
23434,4,1012,46.0,1041,38,7,1,1,1,1,0
23548,3,33,27.0,327,1,0,1,0,0,1,0
23844,9,9,16.0,60,6,0,0,0,0,0,0
23858,1,128,31.0,87,2,0,1,0,0,1,0
23994,5,153,42.0,167,9,1,1,1,1,1,0
23998,5,650,80.0,431,5,0,1,0,0,1,0
24101,5,222,40.0,113,11,0,0,0,0,0,0
24144,1,3001,35.0,5293,94,0,1,1,1,1,0
24272,1,873,45.0,585,0,0,0,0,0,0,0
24336,1,305,60.0,716,2,1,1,1,1,1,0
24438,5,27,26.0,71,4,0,1,0,0,0,0
24551,5,386,33.0,250,15,0,0,0,0,0,0
24650,3,114,26.0,109,5,3,0,0,0,1,0
24900,1,161,14.0,204,2,0,1,1,0,1,1
24932,1,5,,57,0,0,0,0,0,0,0
24935,1,990,48.0,1092,50,3,1,1,1,1,0
25079,1,2016,51.0,4878,36,1,1,1,1,1,0
25452,3,21,27.0,24,3,1,1,0,0,1,0
25464,4,157,33.0,129,0,0,0,0,0,0,0
25572,1,161,30.0,269,30,8,0,1,0,1,0
25585,4,231,57.0,545,1,1,0,0,0,0,0
25660,4,103,46.0,160,1,0,1,1,1,1,0
25776,4,234,42.0,427,18,0,1,0,0,1,0
25810,1,822,52.0,1340,6,0,0,0,0,0,0
25823,1,280,22.0,319,2,0,1,1,1,1,0
25852,1,1609,45.0,1911,10,0,1,1,1,1,0
26018,4,52,20.0,105,0,0,1,0,1,1,0
26073,1,122,40.0,255,7,0,1,1,1,1,0
26158,1,249,33.0,380,47,5,1,1,0,1,1
26197,2,794,24.0,918,0,0,0,0,0,1,0
26287,1,47,38.0,45,2,1,1,0,1,1,0
26300,5,131,33.0,97,0,0,1,0,0,1,0
26590,3,1623,26.0,1649,8,0,1,1,0,1,0
26685,1,258,36.0,254,5,0,1,1,1,1,0
26770,1,190,29.0,100,0,0,1,0,1,1,0
26771,1,396,36.0,249,0,1,1,1,1,1,1
26825,4,41,26.0,99,0,0,1,0,0,0,0
26888,4,278,24.0,391,2,1,1,1,0,1,0
27004,1,30,20.0,20,2,0,1,1,1,1,0
27013,1,3857,56.0,7265,69,1,1,1,1,1,0
27081,1,193,23.0,511,13,0,1,0,1,1,0
27148,5,37,28.0,37,1,0,0,0,0,0,0
27438,2,1245,41.0,1987,33,0,1,1,0,1,0
27497,1,1247,40.0,955,13,2,1,1,1,1,1
27534,1,116,16.0,299,32,0,0,0,0,1,0
27641,12,269,34.0,449,1,0,1,0,1,1,0
27748,1,711,58.0,1508,0,0,1,1,1,1,0
27863,1,26,12.0,21,0,0,0,0,0,0,0
27904,3,186,35.0,248,3,0,1,1,1,1,0
27939,1,692,37.0,496,79,0,0,0,0,0,0
27959,2,837,57.0,1077,88,0,1,0,1,1,0
27982,3,592,30.0,619,7,1,1,1,0,1,0
28355,1,310,49.0,1020,46,4,0,0,0,0,0
28603,1,646,58.0,672,0,2,1,1,1,1,1
28616,1,884,52.0,1552,0,0,0,0,0,0,0
28625,1,258,39.0,391,0,0,0,0,0,0,0
28642,1,281,42.0,521,1,1,1,0,1,1,1
29023,1,117,13.0,137,3,0,1,1,1,1,0
29065,4,277,23.0,301,0,0,1,0,0,1,0
29270,1,1040,38.0,1646,23,0,1,1,0,1,0
29347,1,1940,57.0,6563,52,6,1,1,1,1,0
29354,1,162,24.0,344,4,2,1,1,0,1,1
29580,12,9,34.0,9,0,0,1,0,0,1,0
29586,4,42,17.0,99,3,0,1,0,0,1,0
29620,1,18,15.0,26,0,0,1,0,0,1,0
29625,1,119,38.0,116,4,1,0,0,0,0,0
29640,1,1023,45.0,975,41,0,1,1,1,1,1
29717,1,318,51.0,819,60,2,1,1,1,1,0
29781,1,459,54.0,1015,51,2,1,1,0,1,0
29789,4,38,26.0,99,21,1,1,0,1,1,1
29808,1,423,40.0,600,32,1,1,0,1,1,0
29849,1,179,19.0,202,1,1,0,0,0,0,0
29853,1,9,31.0,169,21,1,0,0,0,0,0
30015,3,339,35.0,678,24,0,0,0,0,1,1
30022,1,11,18.0,13,4,0,1,1,0,1,0
30085,1,134,25.0,189,0,0,1,1,1,1,0
30086,1,146,20.0,287,10,0,0,0,0,0,1
30113,4,8,13.0,30,1,0,1,0,0,1,0
30274,1,99,37.0,171,21,1,1,1,0,1,0
30287,1,34,48.0,32,2,10,1,1,1,1,0
30289,4,1195,41.0,981,26,4,1,0,1,1,0
30305,1,1550,62.0,2322,0,0,0,0,0,0,0
30306,1,169,37.0,222,0,0,0,0,0,0,0
30331,1,153,14.0,206,6,2,1,1,1,1,1
30366,1,184,46.0,197,0,0,1,1,1,1,0
30370,1,525,39.0,985,5,0,1,1,1,1,0
30436,1,635,36.0,417,3,2,1,1,0,1,0
30439,1,102,49.0,111,1,0,0,0,0,0,0
30470,1,130,84.0,145,1,0,0,0,0,0,0
30516,1,209,30.0,256,13,1,1,1,0,1,0
30533,1,188,48.0,294,20,0,1,1,1,1,0
30550,4,77,21.0,150,0,0,1,0,0,0,0
30825,1,549,28.0,761,2,0,0,0,0,0,1
30850,1,190,29.0,234,4,0,0,0,0,0,0
30934,4,82,16.0,80,18,0,1,1,1,1,0
30937,1,1898,35.0,3085,14,0,1,1,1,1,1
30960,4,387,20.0,229,1,0,1,1,1,1,0
30973,1,490,39.0,951,21,0,1,0,1,1,0
30990,4,487,21.0,252,3,1,1,0,1,1,0
30996,3,192,55.0,181,14,0,1,0,0,1,1
31112,1,51,24.0,51,2,0,1,1,1,1,0
31142,1,176,24.0,151,3,0,1,1,1,1,0
31178,1,39,24.0,44,1,0,1,1,1,1,0
31194,1,763,24.0,592,17,2,1,0,1,1,0
31237,1,549,49.0,938,43,2,1,1,1,1,0
31239,1,588,35.0,585,37,0,1,1,1,1,0
31413,1,5,23.0,17,0,0,0,0,0,0,0
31437,1,226,56.0,382,33,0,1,1,0,1,0
31445,1,20,19.0,10,13,1,0,1,0,1,1
31526,1,161,28.0,244,0,0,1,0,0,1,0
31618,1,422,27.0,393,0,0,0,1,0,1,1
31682,1,528,57.0,1562,0,0,1,0,1,1,0
31683,4,100,20.0,154,2,0,1,0,1,1,1
31695,4,524,26.0,744,35,0,0,0,0,1,0
31706,4,164,22.0,110,1,1,1,0,1,1,0
31729,1,380,55.0,750,15,8,1,1,1,1,0
31737,1,160,17.0,88,0,0,0,0,0,0,0
31738,1,9,13.0,9,1,0,0,0,0,0,0
31743,4,117,21.0,99,5,0,1,1,1,1,1
31809,1,86,17.0,116,9,1,1,1,0,1,1
31825,4,163,30.0,675,7,1,1,0,1,1,0
31963,1,253,23.0,246,13,2,0,0,1,1,1
32021,1,867,49.0,2550,52,1,1,1,1,1,0
32105,1,22,84.0,95,1,0,0,0,0,0,0
32139,1,407,84.0,673,0,0,0,0,0,0,0
32215,1,527,37.0,473,0,0,0,0,0,0,0
32229,1,1,13.0,1,0,1,0,0,0,0,0
32275,3,60,14.0,75,6,0,1,0,1,1,0
32297,1,52,27.0,80,0,0,1,1,1,1,0
32338,1,230,30.0,343,26,0,0,0,0,0,0
32343,1,1237,34.0,794,33,0,1,1,1,1,0
32417,4,74,14.0,60,46,1,0,0,0,1,1
32423,1,277,41.0,336,9,0,1,0,1,1,0
32591,1,329,26.0,423,21,1,1,1,1,1,1
32656,1,526,42.0,1089,30,0,0,0,0,0,0
32658,1,763,34.0,1044,54,3,1,1,0,1,0
32689,1,4,9.0,9,1,1,1,0,0,1,0
32692,1,811,57.0,1437,20,12,1,0,1,1,0
32702,1,476,49.0,730,48,18,1,0,1,0,0
32727,1,922,33.0,956,24,0,1,0,1,1,0
32730,1,421,35.0,1005,9,0,0,0,0,0,1
32763,4,213,27.0,258,3,0,1,0,1,1,0
32777,1,3398,53.0,2000,23,0,1,0,0,1,0
32782,1,144,23.0,201,0,1,1,0,1,1,0
32810,3,64,26.0,73,1,0,1,0,1,1,1
32820,1,421,27.0,335,16,0,1,0,0,1,0
32829,1,59,56.0,129,16,0,1,1,1,1,0
32870,1,391,49.0,698,8,0,0,0,0,1,1
32984,1,24,13.0,99,2,1,0,0,0,0,0
33008,1,147,52.0,113,0,0,0,0,0,0,0
33070,1,76,10.0,138,1,0,0,0,0,1,1
33083,1,1514,32.0,1651,5,1,1,1,0,1,1
33132,1,408,29.0,918,9,1,0,0,0,0,1
33136,1,54,18.0,49,3,0,0,0,0,1,0
33163,5,225,9.0,126,9,0,0,0,0,1,0
33165,1,317,33.0,255,0,0,0,0,0,0,0
33167,1,56,12.0,120,7,1,1,0,0,1,0
33243,1,671,53.0,1852,58,0,1,1,1,1,0
33275,1,247,30.0,250,25,0,1,0,1,1,0
33286,1,222,25.0,424,13,3,1,0,1,1,1
33295,1,425,52.0,318,0,0,0,0,0,0,0
33302,1,71,44.0,139,3,0,1,1,1,1,0
33321,1,177,19.0,254,0,0,0,0,0,0,1
33333,1,3,14.0,3,0,0,1,0,0,1,0
33378,1,135,24.0,78,0,0,0,0,0,0,0
33496,1,44,14.0,87,1,3,0,0,0,1,1
33537,5,25,24.0,25,1,0,0,0,0,0,0
33539,1,272,19.0,280,2,0,1,0,1,1,1
33541,1,92,21.0,141,24,0,0,0,0,0,0
33556,1,117,,106,0,0,0,0,0,0,0
33598,1,153,14.0,166,11,2,1,0,0,1,1
33646,1,13,54.0,19,1,0,1,1,1,1,0
33695,1,598,60.0,1691,0,0,1,1,1,1,0
33723,1,98,26.0,314,12,0,1,1,1,1,1
33737,1,189,39.0,179,17,0,1,1,1,1,0
33746,1,12,16.0,46,0,0,0,1,1,1,1
33762,3,27,20.0,91,0,1,1,0,1,1,0
33794,1,401,62.0,280,4,0,1,1,1,1,0
33795,1,46,20.0,54,1,0,0,0,1,1,0
33806,1,276,1.0,288,2,1,1,0,1,1,0
33853,1,374,33.0,362,31,0,1,1,1,1,0
33863,1,183,12.0,119,0,0,1,0,1,1,0
33953,1,49,24.0,48,0,0,1,0,1,1,0
33966,1,25,12.0,14,0,0,0,0,0,0,0
33968,1,10,40.0,10,1,0,0,0,0,0,0
33994,1,112,20.0,155,0,0,1,1,1,1,0
34005,1,303,14.0,228,0,0,1,1,0,1,1
34006,1,44,31.0,71,0,0,0,0,0,0,0
34021,1,31,13.0,167,3,0,0,0,0,0,0
34070,1,138,23.0,115,0,0,1,0,1,1,0
34128,1,338,28.0,412,0,4,1,0,1,1,0
34164,1,155,34.0,222,0,0,1,0,1,1,0
34188,1,117,16.0,97,0,0,0,0,0,0,0
34210,4,165,17.0,100,15,0,0,0,0,0,0
34233,1,469,48.0,465,0,0,0,0,0,0,0
34243,4,6,12.0,7,0,0,0,0,0,0,0
34260,1,244,43.0,253,33,0,0,0,0,0,0
34318,1,27,10.0,24,0,2,0,0,0,1,0
34402,4,351,29.0,255,44,0,1,0,1,1,0
34532,2,101,53.0,130,3,0,0,0,0,0,0
34550,1,121,68.0,211,3,0,1,1,0,1,0
34554,1,376,13.0,423,40,0,0,0,0,0,1
34565,1,400,28.0,418,28,1,1,1,1,1,0
34583,4,248,16.0,202,1,0,1,0,1,1,0
34618,1,52,35.0,87,0,0,0,0,0,0,0
34623,4,612,29.0,648,75,0,1,0,0,1,0
34624,1,77,18.0,80,3,5,1,1,0,1,1
34676,1,288,38.0,278,16,0,1,1,1,1,1
34693,1,106,35.0,144,9,0,0,0,0,0,0
34751,5,40,15.0,61,1,0,1,0,0,1,0
34771,4,50,8.0,41,6,1,0,0,0,0,0
34777,1,973,29.0,1500,9,0,1,0,1,1,1
34778,1,768,61.0,2389,39,0,0,0,1,1,0
34788,4,192,14.0,140,0,0,0,0,0,0,0
34859,1,121,41.0,110,18,0,0,0,0,0,0
34872,1,940,39.0,1001,19,0,1,1,1,1,0
34957,1,171,15.0,323,1,0,0,0,0,0,0
34959,1,248,21.0,410,26,0,1,1,1,1,1
35009,1,72,47.0,50,0,0,0,0,0,0,0
35034,1,83,41.0,101,0,0,0,0,0,0,0
35036,1,438,15.0,276,2,0,1,1,1,1,1
35044,1,72,11.0,108,3,0,1,0,0,1,1
35074,4,217,32.0,126,0,0,0,0,0,0,0
35076,1,109,10.0,115,0,0,0,0,0,0,0
35084,1,376,26.0,441,4,2,1,0,1,1,0
35140,1,439,28.0,439,21,0,1,1,1,1,1
35221,1,63,24.0,72,0,0,0,0,1,1,1
35227,1,965,43.0,549,25,0,0,0,0,0,0
35238,1,38,7.0,40,0,0,0,1,1,1,0
35256,4,1,20.0,1,0,0,0,0,0,0,0
35278,1,168,13.0,297,3,0,0,0,0,1,0
35294,5,500,25.0,809,0,0,0,0,0,0,0
35355,1,455,23.0,1027,3,2,0,0,0,0,1
35385,1,159,18.0,126,2,1,1,1,1,1,0
35404,1,62,11.0,63,5,1,0,0,0,0,1
35411,3,5,14.0,6,0,0,0,0,0,0,1
35426,1,391,26.0,196,0,0,1,0,1,1,0
35434,1,79,10.0,80,1,0,0,0,0,1,0
35446,1,43,8.0,48,1,0,0,0,0,1,0
35450,1,68,9.0,37,1,0,1,0,0,1,1
35512,1,303,44.0,270,2,0,0,0,0,0,0
35514,1,90,12.0,89,0,0,1,0,1,1,0
35519,1,154,8.0,155,0,0,0,0,1,1,1
35564,1,61,15.0,121,2,0,1,1,1,1,1
35612,1,184,38.0,226,29,0,1,1,1,1,1
35616,1,214,28.0,108,1,0,0,0,0,0,0
35630,4,130,54.0,176,34,0,1,0,1,1,0
35636,1,207,10.0,202,5,0,1,0,1,1,0
35681,1,112,30.0,111,0,0,0,0,0,0,0
35754,1,445,16.0,1099,36,4,1,0,0,1,0
35798,1,384,14.0,413,0,0,1,1,1,1,1
35800,1,376,28.0,338,0,0,1,1,0,1,0
35814,3,73,27.0,192,5,0,0,0,0,0,1
35912,4,356,30.0,178,14,0,1,0,0,1,0
35913,1,54,12.0,27,0,0,0,0,0,0,0
35914,4,292,19.0,156,1,0,1,0,0,1,1
35922,1,65,11.0,127,0,0,0,0,0,0,0
35947,1,53,14.0,32,5,0,0,0,0,0,1
36000,1,509,32.0,825,3,1,1,0,1,1,0
36002,1,20,17.0,20,0,1,1,1,1,1,1
36013,4,36,23.0,100,1,0,1,0,0,1,0
36100,1,69,11.0,124,0,0,0,0,0,0,0
36135,1,10,24.0,22,1,1,1,1,1,1,0
36183,1,126,24.0,349,18,2,1,1,0,1,0
36186,1,65,31.0,75,5,0,1,1,0,1,0
36244,4,356,23.0,261,11,1,1,0,1,1,0
36254,1,223,61.0,232,20,0,0,0,0,0,0
36358,1,201,47.0,222,5,0,0,0,0,0,0
36369,1,264,53.0,216,0,0,0,0,0,0,0
36473,1,177,31.0,253,7,0,0,0,0,0,0
36481,1,239,50.0,125,0,0,0,0,0,1,0
36494,3,62,28.0,62,21,0,0,0,0,0,0
36547,1,18,20.0,33,1,1,1,0,0,1,0
36551,4,274,39.0,178,16,0,1,0,0,1,0
36554,1,43,13.0,56,0,0,1,0,0,1,0
36565,1,161,50.0,486,4,0,0,0,0,0,0
36577,1,61,10.0,252,0,0,0,0,0,0,0
36578,1,28,10.0,76,0,0,0,0,0,0,0
36593,1,32,14.0,62,3,0,1,0,0,1,0
36604,1,30,33.0,3225,1,1,1,0,1,1,1
36637,1,41,10.0,31,2,0,0,0,0,0,0
36649,1,234,12.0,248,2,4,0,0,0,1,1
36673,1,37,16.0,97,2,0,1,1,1,1,0
36698,1,23,10.0,23,0,0,0,0,1,1,1
36734,1,261,30.0,150,0,0,1,0,1,1,0
36736,1,218,16.0,281,0,0,0,0,0,0,0
36753,1,13,9.0,11,0,0,1,0,1,1,0
36781,1,278,19.0,475,21,0,0,0,0,0,0
36794,1,77,22.0,70,5,1,0,0,0,0,1
36834,1,153,38.0,148,5,1,1,0,0,1,0
36840,1,5,5.0,8,0,0,0,0,0,0,0
36856,1,331,24.0,454,1,0,0,0,0,1,0
36890,1,152,62.0,142,2,0,0,0,0,0,0
36891,1,90,17.0,690,1,1,0,0,0,1,1
36908,1,276,30.0,371,23,1,1,0,1,1,0
36976,1,105,10.0,59,2,0,0,0,0,0,0
37039,1,215,22.0,158,4,0,0,0,0,0,0
37084,1,39,16.0,40,0,0,0,0,0,0,0
37096,1,45,22.0,54,0,0,0,0,0,0,0
37123,1,52,15.0,56,0,0,0,0,0,1,1
37173,1,867,13.0,1013,3,1,1,1,1,1,1
37216,1,169,15.0,275,10,1,0,0,0,1,0
37273,1,377,55.0,377,0,0,0,0,0,0,0
37281,1,137,27.0,140,0,0,0,0,0,0,0
37359,1,382,30.0,405,9,0,0,0,0,0,0
37376,2,5,31.0,16,0,0,0,0,0,0,0
37392,1,89,11.0,49,5,0,0,0,0,0,1
37422,1,295,20.0,361,14,1,1,1,1,1,1
37435,1,121,58.0,127,1,1,0,0,0,0,0
37487,1,87,24.0,50,2,0,0,0,0,0,0
37534,1,246,21.0,137,0,0,0,0,0,0,0
37535,1,161,21.0,101,0,0,0,0,0,0,0
37549,1,286,18.0,369,22,2,1,0,0,1,0
37625,1,102,15.0,52,1,0,1,1,1,1,1
37641,4,50,25.0,50,3,2,1,0,1,1,0
37699,1,42,45.0,71,0,0,0,0,0,0,0
37713,1,99,1.0,81,3,0,1,0,1,1,0
37760,1,455,25.0,433,28,0,1,0,1,1,0
37775,5,226,47.0,139,9,0,0,0,0,0,0
37794,5,262,34.0,157,13,0,0,0,0,0,0
37803,5,189,30.0,227,10,0,0,0,0,0,0
37815,1,17,11.0,18,0,0,0,0,0,0,0
37859,5,169,27.0,93,10,0,0,0,0,0,0
37860,4,40,11.0,51,0,0,0,0,0,0,0
37861,5,197,21.0,166,10,0,0,0,0,0,0
37867,1,55,26.0,63,9,0,0,0,0,0,0
37880,5,60,25.0,65,6,0,0,0,0,0,0
37886,5,82,30.0,116,8,0,0,0,0,0,0
37888,4,49,18.0,50,2,1,1,0,1,1,1
37894,1,18,13.0,10,1,0,1,1,1,1,0
37956,1,16,30.0,19,0,0,0,0,0,0,0
